name,sku,price,stock
"HP Monitor",SKU-000191,43159250,298
"HP Tablet",SKU-000192,10523072,471
"HP Tablet",SKU-000193,4258349,964
"Apple Tablet",SKU-000194,27901078,917
"Apple Camera",SKU-000195,26004178,640
"Dell Monitor",SKU-000196,44884682,278
"Dell Tablet",SKU-000197,28974854,140
"Samsung Laptop",SKU-000198,24496916,292
"Dell Camera",SKU-000199,22330868,938
"HP Camera",SKU-000200,20220907,144
"Dell Monitor",SKU-000201,41174769,760
"Apple Camera",SKU-000202,17303183,260
"HP Smartphone",SKU-000203,3350904,696
"Samsung Smartphone",SKU-000204,40757653,316
"Dell Camera",SKU-000205,5371799,583
"Samsung Laptop",SKU-000206,6320470,852
"Samsung Camera",SKU-000207,48211667,934
"HP Tablet",SKU-000208,30743754,899
"Samsung Monitor",SKU-000209,31893884,770
"Sony Camera",SKU-000210,45057442,471
"Samsung Smartphone",SKU-000211,17492202,914
"HP Smartphone",SKU-000212,23719441,658
"HP Monitor",SKU-000213,3638803,298
"Sony Tablet",SKU-000214,49642344,515
"HP Camera",SKU-000215,18881777,516
"Apple Camera",SKU-000216,8264672,721
"Samsung Laptop",SKU-000217,31216082,638
"Apple Camera",SKU-000218,4685475,760
"Dell Laptop",SKU-000219,12057784,736
"HP Smartphone",SKU-000220,6436879,42
"Apple Monitor",SKU-000221,14823003,483
"Apple Tablet",SKU-000222,1440351,654
"HP Smartphone",SKU-000223,19376753,604
"Apple Monitor",SKU-000224,4491731,781
"Samsung Smartphone",SKU-000225,16741465,353
"Dell Camera",SKU-000226,15641251,822
"Apple Smartphone",SKU-000227,35072090,972
"Sony Tablet",SKU-000228,41237167,548
"Dell Laptop",SKU-000229,19392142,225
"Sony Tablet",SKU-000230,42841510,301
"HP Laptop",SKU-000231,2245264,718
"Samsung Smartphone",SKU-000232,48491055,40
"Apple Monitor",SKU-000233,12370401,782
"Apple Tablet",SKU-000234,1573564,850
"Dell Laptop",SKU-000235,19936893,254
"Apple Tablet",SKU-000236,21289549,674
"HP Smartphone",SKU-000237,48829374,671
"Samsung Laptop",SKU-000238,26303272,272
"Samsung Camera",SKU-000239,9142019,767
"Dell Smartphone",SKU-000240,33576809,453
"Dell Smartphone",SKU-000241,48622167,627
"Dell Monitor",SKU-000242,7399598,189
"HP Laptop",SKU-000243,42966981,656
"Sony Camera",SKU-000244,38682907,185
"Apple Camera",SKU-000245,29687893,408
"HP Smartphone",SKU-000246,4687175,74
"Sony Smartphone",SKU-000247,31005117,409
"Sony Smartphone",SKU-000248,45412892,909
"Dell Laptop",SKU-000249,36959025,188
"Sony Laptop",SKU-000250,35780467,305
"Dell Monitor",SKU-000251,15790425,48
"Dell Camera",SKU-000252,35982108,534
"HP Camera",SKU-000253,39240200,941
"Samsung Monitor",SKU-000254,14954346,611
"Sony Camera",SKU-000255,49951973,239
"HP Camera",SKU-000256,35408830,542
"Apple Tablet",SKU-000257,24103672,866
"Sony Camera",SKU-000258,39369858,147
"Sony Smartphone",SKU-000259,45519800,287
"HP Smartphone",SKU-000260,6917427,770
"HP Monitor",SKU-000261,5004457,634
"Samsung Camera",SKU-000262,27765097,191
"Sony Monitor",SKU-000263,18783932,998
"HP Smartphone",SKU-000264,15729554,817
"Apple Smartphone",SKU-000265,39559056,168
"Apple Smartphone",SKU-000266,43633351,937
"Sony Laptop",SKU-000267,8978596,505
"Samsung Laptop",SKU-000268,1046551,139
"Apple Monitor",SKU-000269,19946042,975
"Samsung Smartphone",SKU-000270,43840080,69
"Apple Monitor",SKU-000271,46759925,280
"HP Tablet",SKU-000272,39747726,377
"Dell Monitor",SKU-000273,41768304,277
"Sony Tablet",SKU-000274,27024349,804
"HP Laptop",SKU-000275,46456035,647
"Sony Tablet",SKU-000276,11120048,217
"HP Monitor",SKU-000277,42451390,921
"HP Tablet",SKU-000278,41751417,898
"Sony Smartphone",SKU-000279,32626199,255
"Sony Camera",SKU-000280,15648154,85
"Apple Laptop",SKU-000281,33919034,935
"Apple Camera",SKU-000282,47882602,676
"Dell Smartphone",SKU-000283,10368918,514
"HP Tablet",SKU-000284,38677511,777
"Dell Tablet",SKU-000285,28780261,331
"HP Smartphone",SKU-000286,1019320,813
"Samsung Camera",SKU-000287,14764819,214
"Dell Smartphone",SKU-000288,18287743,389
"Apple Camera",SKU-000289,21532472,184
"Sony Camera",SKU-000290,6393845,773
"Apple Smartphone",SKU-000291,26583818,340
"Sony Smartphone",SKU-000292,18314913,673
"Samsung Laptop",SKU-000293,27172620,683
"Dell Smartphone",SKU-000294,44413170,510
"HP Monitor",SKU-000295,48167174,833
"Samsung Laptop",SKU-000296,35333631,86
"Sony Monitor",SKU-000297,31957959,562
"HP Laptop",SKU-000298,14154873,219
"Dell Smartphone",SKU-000299,29231800,163
"Samsung Tablet",SKU-000300,8265413,969
"Apple Camera",SKU-000301,20275814,996
"Dell Tablet",SKU-000302,40989505,779
"Apple Tablet",SKU-000303,21402188,797
"HP Laptop",SKU-000304,25946533,473
"Dell Tablet",SKU-000305,3098804,125
"Dell Tablet",SKU-000306,10602226,446
"Sony Monitor",SKU-000307,40661829,144
"Dell Tablet",SKU-000308,14033095,588
"HP Laptop",SKU-000309,30642494,944
"HP Laptop",SKU-000310,47456098,554
"HP Camera",SKU-000311,23368712,926
"Apple Laptop",SKU-000312,8380450,564
"HP Laptop",SKU-000313,39473376,661
"Samsung Smartphone",SKU-000314,23973472,452
"Apple Laptop",SKU-000315,3102074,861
"HP Laptop",SKU-000316,2920198,805
"Sony Tablet",SKU-000317,31740401,166
"Dell Camera",SKU-000318,44611853,474
"Sony Camera",SKU-000319,11124785,513
"Dell Monitor",SKU-000320,17564833,893
"HP Smartphone",SKU-000321,39107467,979
"Samsung Laptop",SKU-000322,37972030,170
"Sony Monitor",SKU-000323,1008768,393
"HP Monitor",SKU-000324,33063404,965
"Samsung Tablet",SKU-000325,31457831,637
"HP Tablet",SKU-000326,27826798,185
"Sony Tablet",SKU-000327,41738497,702
"Apple Monitor",SKU-000328,22169793,343
"Samsung Camera",SKU-000329,44030378,336
"Apple Camera",SKU-000330,6715562,3
"Samsung Tablet",SKU-000331,14504250,989
"Sony Monitor",SKU-000332,21500950,713
"Samsung Tablet",SKU-000333,11689750,251
"HP Tablet",SKU-000334,12729547,661
"Samsung Camera",SKU-000335,3870286,705
"Samsung Tablet",SKU-000336,37776095,203
"Apple Monitor",SKU-000337,42977194,450
"Apple Monitor",SKU-000338,38531792,150
"Dell Laptop",SKU-000339,45743235,15
"Samsung Smartphone",SKU-000340,41355055,582
"HP Monitor",SKU-000341,12355017,772
"Dell Smartphone",SKU-000342,30134715,576
"HP Tablet",SKU-000343,41675848,657
"Sony Monitor",SKU-000344,29563191,546
"Apple Laptop",SKU-000345,2038542,519
"Sony Monitor",SKU-000346,34623762,544
"Samsung Smartphone",SKU-000347,7467927,467
"HP Tablet",SKU-000348,32699046,470
"Dell Laptop",SKU-000349,48009174,892
"Samsung Tablet",SKU-000350,21756174,700
"Dell Laptop",SKU-000351,30086658,704
"Apple Tablet",SKU-000352,38789990,185
"Dell Smartphone",SKU-000353,25271437,586
"Apple Laptop",SKU-000354,17495303,431
"Apple Laptop",SKU-000355,6182060,561
"Apple Laptop",SKU-000356,42994759,573
"HP Tablet",SKU-000357,49089060,336
"Samsung Tablet",SKU-000358,20809305,114
"HP Camera",SKU-000359,9109258,854
"Samsung Smartphone",SKU-000360,35414349,415
"Samsung Tablet",SKU-000361,33739619,143
"Dell Camera",SKU-000362,13507802,618
"Dell Monitor",SKU-000363,37068651,485
"Apple Camera",SKU-000364,44714316,126
"Apple Camera",SKU-000365,3167050,956
"Sony Laptop",SKU-000366,45599677,400
"Dell Camera",SKU-000367,25092388,426
"Sony Tablet",SKU-000368,29461198,348
"Sony Camera",SKU-000369,42677511,180
"Apple Monitor",SKU-000370,21428283,642
"Samsung Monitor",SKU-000371,4079080,163
"Apple Laptop",SKU-000372,44604373,5
"Samsung Smartphone",SKU-000373,17612504,116
"Sony Smartphone",SKU-000374,26816827,813
"HP Monitor",SKU-000375,24435814,811
"Samsung Laptop",SKU-000376,16803273,225
"Apple Laptop",SKU-000377,11252197,444
"HP Tablet",SKU-000378,4536372,510
"Dell Smartphone",SKU-000379,42205683,770
"Dell Camera",SKU-000380,1635232,755
"HP Smartphone",SKU-000381,13184221,670
"Dell Smartphone",SKU-000382,1007976,83
"Apple Monitor",SKU-000383,4025746,910
"Samsung Laptop",SKU-000384,48455528,612
"Apple Tablet",SKU-000385,30503961,383
"Dell Tablet",SKU-000386,49407915,820
"Samsung Tablet",SKU-000387,30629174,18
"Sony Laptop",SKU-000388,25034077,699
"Apple Laptop",SKU-000389,22590748,568
"Apple Laptop",SKU-000390,39009093,948
"HP Monitor",SKU-000391,29140947,528
"Samsung Laptop",SKU-000392,16436400,92
"Dell Camera",SKU-000393,43795476,225
"Sony Monitor",SKU-000394,15628423,640
"Dell Monitor",SKU-000395,17727001,659
"HP Tablet",SKU-000396,48787955,437
"Dell Tablet",SKU-000397,25023132,989
"Samsung Smartphone",SKU-000398,30888785,135
"Sony Camera",SKU-000399,1873672,543
"Apple Camera",SKU-000400,3175221,672
"Samsung Tablet",SKU-000401,26289668,328
"Apple Smartphone",SKU-000402,45256854,193
"Samsung Monitor",SKU-000403,10175991,545
"Sony Laptop",SKU-000404,20329528,835
"Dell Monitor",SKU-000405,12344251,138
"Sony Tablet",SKU-000406,39509592,934
"Apple Tablet",SKU-000407,1157124,869
"Samsung Monitor",SKU-000408,21872068,75
"Sony Laptop",SKU-000409,17132870,230
"HP Camera",SKU-000410,3401679,488
"Apple Monitor",SKU-000411,33012923,900
"Apple Camera",SKU-000412,22019942,986
"Sony Camera",SKU-000413,3309625,161
"Sony Camera",SKU-000414,14744024,906
"Dell Laptop",SKU-000415,35290494,98
"Sony Monitor",SKU-000416,5917735,535
"Dell Smartphone",SKU-000417,32576086,850
"Sony Smartphone",SKU-000418,7616202,271
"HP Tablet",SKU-000419,41664868,415
"Sony Monitor",SKU-000420,37143584,530
"Dell Smartphone",SKU-000421,49265108,522
"Apple Camera",SKU-000422,27496255,761
"Dell Monitor",SKU-000423,22925148,554
"Dell Tablet",SKU-000424,42893755,826
"Dell Tablet",SKU-000425,28093362,983
"Samsung Tablet",SKU-000426,26158817,999
"Dell Smartphone",SKU-000427,37465680,103
"Apple Tablet",SKU-000428,1066338,356
"Apple Camera",SKU-000429,43184587,670
"Apple Laptop",SKU-000430,25747204,458
"Samsung Smartphone",SKU-000431,40557020,957
"HP Monitor",SKU-000432,35591623,824
"Dell Monitor",SKU-000433,49279766,262
"Dell Smartphone",SKU-000434,5538717,162
"Samsung Camera",SKU-000435,36225591,493
"Samsung Smartphone",SKU-000436,6523300,768
"Samsung Monitor",SKU-000437,37379214,74
"HP Tablet",SKU-000438,3029295,426
"Apple Monitor",SKU-000439,38860031,368
"Sony Smartphone",SKU-000440,47223825,724
"Apple Tablet",SKU-000441,7581253,331
"HP Monitor",SKU-000442,41480378,470
"HP Camera",SKU-000443,44132245,643
"HP Tablet",SKU-000444,42030186,916
"HP Tablet",SKU-000445,9750718,890
"Sony Laptop",SKU-000446,15238423,88
"Samsung Smartphone",SKU-000447,20508137,494
"Apple Camera",SKU-000448,16531659,975
"Apple Laptop",SKU-000449,5368239,285
"Dell Monitor",SKU-000450,9651478,224
"Dell Camera",SKU-000451,40854993,223
"HP Camera",SKU-000452,20010735,722
"Samsung Smartphone",SKU-000453,19259592,928
"Sony Laptop",SKU-000454,4739029,275
"Dell Camera",SKU-000455,45479333,335
"Apple Tablet",SKU-000456,42879774,382
"Apple Laptop",SKU-000457,28486783,589
"Sony Camera",SKU-000458,9118935,752
"HP Monitor",SKU-000459,24476255,306
"Sony Laptop",SKU-000460,1561162,484
"Sony Camera",SKU-000461,14621301,191
"Sony Monitor",SKU-000462,19501566,748
"Samsung Camera",SKU-000463,1173911,826
"Apple Laptop",SKU-000464,37842402,966
"HP Laptop",SKU-000465,29907744,538
"Sony Camera",SKU-000466,19489914,933
"Dell Laptop",SKU-000467,30468073,742
"HP Monitor",SKU-000468,21867246,894
"HP Smartphone",SKU-000469,43909049,780
"Sony Camera",SKU-000470,4758395,157
"Sony Tablet",SKU-000471,28376199,895
"Dell Monitor",SKU-000472,21476805,725
"Sony Camera",SKU-000473,24187152,599
"HP Monitor",SKU-000474,38905384,880
"Apple Laptop",SKU-000475,21845601,672
"Samsung Camera",SKU-000476,25559131,789
"Sony Tablet",SKU-000477,15363028,976
"Samsung Tablet",SKU-000478,22638217,550
"HP Tablet",SKU-000479,24410104,715
"Apple Laptop",SKU-000480,23328958,775
"Apple Monitor",SKU-000481,5213901,581
"HP Tablet",SKU-000482,37042471,560
"Samsung Laptop",SKU-000483,17220020,692
"Sony Camera",SKU-000484,41287115,117
"Dell Smartphone",SKU-000485,41200022,541
"Apple Tablet",SKU-000486,14462032,999
"HP Camera",SKU-000487,42515957,729
"Sony Laptop",SKU-000488,4046763,585
"Apple Smartphone",SKU-000489,22235842,951
"HP Smartphone",SKU-000490,26886799,7
"Samsung Camera",SKU-000491,21286837,984
"Samsung Tablet",SKU-000492,40038996,242
"Samsung Camera",SKU-000493,22289244,296
"Samsung Camera",SKU-000494,47996123,377
"Apple Smartphone",SKU-000495,7517239,255
"Apple Smartphone",SKU-000496,33477973,804
"HP Monitor",SKU-000497,44317129,771
"Samsung Monitor",SKU-000498,26716432,824
"HP Monitor",SKU-000499,18460366,598
"Apple Laptop",SKU-000500,14063754,650
"Apple Smartphone",SKU-000501,48138526,558
"HP Tablet",SKU-000502,1819399,846
"Dell Laptop",SKU-000503,28303340,359
"Sony Monitor",SKU-000504,6272499,163
"Apple Monitor",SKU-000505,27461190,174
"Sony Camera",SKU-000506,40320758,779
"Apple Camera",SKU-000507,8217110,361
"Samsung Laptop",SKU-000508,15234248,635
"Sony Laptop",SKU-000509,42851859,356
"HP Smartphone",SKU-000510,26495768,201
"Dell Camera",SKU-000511,5691739,530
"Apple Monitor",SKU-000512,20000396,385
"Sony Camera",SKU-000513,19223162,795
"HP Monitor",SKU-000514,6669873,693
"Samsung Camera",SKU-000515,34667277,286
"Apple Laptop",SKU-000516,13037737,360
"HP Camera",SKU-000517,12170314,425
"HP Smartphone",SKU-000518,24328080,521
"HP Tablet",SKU-000519,9438177,765
"Apple Tablet",SKU-000520,36236720,922
"HP Tablet",SKU-000521,19353703,363
"Dell Laptop",SKU-000522,46017746,244
"Sony Smartphone",SKU-000523,12485421,998
"Dell Camera",SKU-000524,34175518,754
"Samsung Monitor",SKU-000525,46491427,708
"Sony Monitor",SKU-000526,10921087,712
"Dell Laptop",SKU-000527,33422549,237
"HP Smartphone",SKU-000528,36368858,960
"Dell Laptop",SKU-000529,19032161,63
"HP Laptop",SKU-000530,38258613,692
"Sony Tablet",SKU-000531,4179951,730
"HP Monitor",SKU-000532,30557009,346
"Apple Smartphone",SKU-000533,40358516,204
"Dell Camera",SKU-000534,12671824,66
"Samsung Tablet",SKU-000535,27154186,167
"Dell Tablet",SKU-000536,12483444,507
"Sony Tablet",SKU-000537,1221057,32
"Apple Camera",SKU-000538,6209323,242
"Apple Smartphone",SKU-000539,40691643,946
"Samsung Tablet",SKU-000540,28254123,955
"Dell Smartphone",SKU-000541,31032358,284
"Sony Smartphone",SKU-000542,42740764,276
"Apple Laptop",SKU-000543,31958008,477
"Apple Smartphone",SKU-000544,21115829,746
"Sony Tablet",SKU-000545,29614950,486
"Samsung Tablet",SKU-000546,48179867,26
"Sony Laptop",SKU-000547,39044081,308
"Samsung Smartphone",SKU-000548,18216214,903
"Apple Tablet",SKU-000549,16194144,190
"HP Camera",SKU-000550,13052040,245
"Dell Smartphone",SKU-000551,41532370,542
"Sony Monitor",SKU-000552,42336572,237
"Apple Monitor",SKU-000553,43354034,146
"Samsung Camera",SKU-000554,37523349,297
"Samsung Monitor",SKU-000555,26881235,680
"HP Tablet",SKU-000556,37152862,259
"Dell Laptop",SKU-000557,18891630,940
"Sony Tablet",SKU-000558,24482850,351
"Dell Tablet",SKU-000559,44187879,314
"HP Monitor",SKU-000560,22192593,919
"Dell Camera",SKU-000561,46690193,917
"Dell Tablet",SKU-000562,7640808,25
"Sony Smartphone",SKU-000563,4697830,684
"HP Camera",SKU-000564,9560238,115
"Sony Camera",SKU-000565,12335740,288
"Apple Tablet",SKU-000566,17237158,357
"Apple Tablet",SKU-000567,31426241,490
"Apple Tablet",SKU-000568,9000315,508
"Apple Monitor",SKU-000569,22352866,221
"HP Smartphone",SKU-000570,43369788,173
"Dell Laptop",SKU-000571,16269919,986
"Sony Camera",SKU-000572,32967878,608
"Samsung Camera",SKU-000573,36118114,551
"HP Smartphone",SKU-000574,44583029,163
"HP Camera",SKU-000575,6814023,864
"Dell Laptop",SKU-000576,33839165,39
"Sony Laptop",SKU-000577,30241724,192
"Apple Camera",SKU-000578,15421184,44
"HP Monitor",SKU-000579,25968555,805
"Dell Camera",SKU-000580,11114310,662
"HP Camera",SKU-000581,2450815,126
"Dell Camera",SKU-000582,17570413,477
"HP Camera",SKU-000583,25728537,227
"Dell Camera",SKU-000584,41012343,161
"Apple Laptop",SKU-000585,13081693,871
"Dell Smartphone",SKU-000586,31147879,87
"Apple Laptop",SKU-000587,23790102,627
"Samsung Monitor",SKU-000588,47655050,179
"Sony Laptop",SKU-000589,18323735,910
"HP Tablet",SKU-000590,28637090,696
"Samsung Monitor",SKU-000591,47109898,48
"Dell Tablet",SKU-000592,37909181,576
"Apple Monitor",SKU-000593,24456536,346
"Dell Camera",SKU-000594,46758599,629
"HP Tablet",SKU-000595,8568706,233
"HP Monitor",SKU-000596,27619320,250
"HP Tablet",SKU-000597,13619332,255
"HP Monitor",SKU-000598,31162885,323
"Apple Smartphone",SKU-000599,32252632,611
"HP Monitor",SKU-000600,23616632,260
"HP Tablet",SKU-000601,47318075,363
"HP Monitor",SKU-000602,9361058,378
"Sony Tablet",SKU-000603,33579149,332
"HP Monitor",SKU-000604,36846514,954
"Samsung Monitor",SKU-000605,25873933,394
"HP Monitor",SKU-000606,27777295,11
"Sony Monitor",SKU-000607,46804218,144
"Samsung Tablet",SKU-000608,3222498,245
"Samsung Tablet",SKU-000609,45193980,633
"Dell Camera",SKU-000610,18746808,291
"Sony Laptop",SKU-000611,14905035,213
"Dell Tablet",SKU-000612,40044004,720
"HP Smartphone",SKU-000613,30671067,448
"Samsung Laptop",SKU-000614,21323453,201
"Dell Monitor",SKU-000615,37372987,586
"Sony Smartphone",SKU-000616,27664790,827
"Apple Monitor",SKU-000617,38984223,100
"Sony Camera",SKU-000618,43277085,890
"Dell Smartphone",SKU-000619,27320698,463
"Samsung Monitor",SKU-000620,1964462,196
"Dell Monitor",SKU-000621,43684034,830
"HP Laptop",SKU-000622,20736773,822
"Apple Smartphone",SKU-000623,40492476,689
"Sony Camera",SKU-000624,35999407,968
"Sony Smartphone",SKU-000625,48004406,760
"Sony Smartphone",SKU-000626,22213407,233
"Dell Monitor",SKU-000627,14967699,689
"HP Smartphone",SKU-000628,8143095,967
"Samsung Smartphone",SKU-000629,34822756,416
"HP Laptop",SKU-000630,7295371,636
"HP Smartphone",SKU-000631,45357396,411
"HP Laptop",SKU-000632,16105925,976
"Dell Camera",SKU-000633,45349287,142
"HP Monitor",SKU-000634,38299755,79
"Apple Camera",SKU-000635,11026121,860
"Sony Monitor",SKU-000636,3725153,870
